date,role,city,lat,lon,skill,salary
2023-07-15,Data Scientist,Bangalore,12.9716,77.5946,Python,850000
2023-07-20,ML Engineer,Hyderabad,17.3850,78.4867,AWS,950000
2023-08-01,Data Analyst,Chennai,13.0827,80.2707,Excel,650000
2023-08-10,Data Scientist,Bangalore,12.9716,77.5946,NLP,870000
2023-09-05,ML Engineer,Pune,18.5204,73.8567,TensorFlow,920000
2023-09-12,BI Developer,Mumbai,19.0760,72.8777,PowerBI,780000
2023-10-01,AI Researcher,Delhi,28.6139,77.2090,PyTorch,1200000
2023-10-15,Data Scientist,Kolkata,22.5726,88.3639,SQL,830000
2023-11-01,ML Engineer,Bangalore,12.9716,77.5946,Spark,970000
2023-11-10,Data Analyst,Hyderabad,17.3850,78.4867,Tableau,690000
2023-11-20,BI Developer,Chennai,13.0827,80.2707,Excel,720000
2023-12-01,AI Researcher,Mumbai,19.0760,72.8777,Python,1150000
2023-12-15,Data Scientist,Delhi,28.6139,77.2090,NLP,890000
2024-01-05,ML Engineer,Kolkata,22.5726,88.3639,AWS,980000
2024-01-20,Data Analyst,Pune,18.5204,73.8567,SQL,670000
2024-02-01,BI Developer,Bangalore,12.9716,77.5946,PowerBI,800000
2024-02-15,AI Researcher,Hyderabad,17.3850,78.4867,TensorFlow,1250000
2024-03-01,Data Scientist,Chennai,13.0827,80.2707,Python,860000
2024-03-15,ML Engineer,Mumbai,19.0760,72.8777,Spark,990000
2024-04-01,Data Analyst,Delhi,28.6139,77.2090,Excel,700000
2024-04-15,BI Developer,Kolkata,22.5726,88.3639,Tableau,750000
2024-05-01,AI Researcher,Bangalore,12.9716,77.5946,PyTorch,1220000
2024-05-10,Data Scientist,Hyderabad,17.3850,78.4867,NLP,880000
2024-05-20,ML Engineer,Chennai,13.0827,80.2707,AWS,960000
2024-06-01,Data Analyst,Mumbai,19.0760,72.8777,Excel,710000
2024-06-10,BI Developer,Pune,18.5204,73.8567,PowerBI,790000
2024-06-20,AI Researcher,Kolkata,22.5726,88.3639,TensorFlow,1240000
2024-07-01,Data Scientist,Delhi,28.6139,77.2090,Python,870000
2024-07-10,ML Engineer,Bangalore,12.9716,77.5946,Spark,1000000
2024-07-20,Data Analyst,Hyderabad,17.3850,78.4867,Tableau,720000
2024-07-30,BI Developer,Chennai,13.0827,80.2707,Excel,740000
2024-08-05,AI Researcher,Mumbai,19.0760,72.8777,PyTorch,1230000
2024-08-15,Data Scientist,Pune,18.5204,73.8567,NLP,890000
2024-08-25,ML Engineer,Kolkata,22.5726,88.3639,AWS,970000
2024-09-01,Data Analyst,Delhi,28.6139,77.2090,Excel,730000
2024-09-10,BI Developer,Bangalore,12.9716,77.5946,PowerBI,810000
2024-09-20,AI Researcher,Hyderabad,17.3850,78.4867,TensorFlow,1260000
2024-10-01,Data Scientist,Chennai,13.0827,80.2707,Python,880000
2024-10-10,ML Engineer,Mumbai,19.0760,72.8777,Spark,1010000
2024-10-20,Data Analyst,Pune,18.5204,73.8567,Tableau,740000
2024-10-30,BI Developer,Kolkata,22.5726,88.3639,Excel,760000
2024-11-05,AI Researcher,Delhi,28.6139,77.2090,PyTorch,1240000
2024-11-15,Data Scientist,Bangalore,12.9716,77.5946,NLP,900000
2024-11-25,ML Engineer,Hyderabad,17.3850,78.4867,AWS,980000
2024-12-01,Data Analyst,Chennai,13.0827,80.2707,Excel,750000
2024-12-10,BI Developer,Mumbai,19.0760,72.8777,PowerBI,820000
2024-12-20,AI Researcher,Pune,18.5204,73.8567,TensorFlow,1270000
2024-12-30,Data Scientist,Kolkata,22.5726,88.3639,Python,890000